,id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid,degrees,betweenness,harmonic_centrality,transitivity_undirected,pagerank,eccentricity
0,27,55-65,1,50001-,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10441,1,0.0,0.3863708399366112,0.056760724188549994,0.0004466212562138576,8.0
1,28,18-30,1,50001-,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10442,2,0.0,0.27451135763338425,0.056760724188549994,0.0009527920132562296,0.0
2,34,66-80,1,30001-50000,Sherbrooke,Estrie,Rock Forest--Saint-Élie--Deauville,J1N,109,10433,1,0.0,0.2973586899101938,0.056760724188549994,0.0004466212562138576,7.0
3,36,31-54,1,50001-,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10435,1,0.0,0.3863708399366112,0.056760724188549994,0.0004466212562138576,8.0
4,40,31-54,0,50001-,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,10429,1,0.0,0.3863708399366112,0.056760724188549994,0.0004466212562138576,8.0
5,48,55-65,0,50001-,Sherbrooke,Estrie,Fleurimont,J1E,109,10416,1,0.0,0.3863708399366112,0.056760724188549994,0.0004466212562138576,8.0
6,49,66-80,0,10001-20000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10417,2,0.0,0.38716323296355254,0.056760724188549994,0.00048616571291741113,8.0
7,50,66-80,0,20001-30000,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,10418,1,0.0,0.3863708399366112,0.056760724188549994,0.0004466212562138576,8.0
8,51,66-80,0,20001-30000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10419,7,0.0,0.38716323296355254,0.056760724188549994,0.0005225468697702134,8.0
9,52,31-54,0,30001-50000,Sherbrooke,Estrie,Jacques-Cartier,J1J,109,10420,1,0.0,0.3863708399366112,0.056760724188549994,0.0004466212562138576,8.0
10,68,81-95,0,20001-30000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10399,7,0.0,0.3863708399366112,0.056760724188549994,0.0004466212562138576,8.0
11,71,31-54,0,0,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,10402,1,0.0,0.3863708399366112,0.056760724188549994,0.0004466212562138576,8.0
12,74,66-80,1,30001-50000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10390,5,0.0,0.38927628103539613,0.056760724188549994,0.0004466212562138576,6.0
13,75,66-80,1,20001-30000,Sherbrooke,Estrie,Fleurimont,J1E,109,10391,13,0.0,0.38716323296355254,0.056760724188549994,0.0004845840629920355,8.0
14,79,81-95,1,30001-50000,Sherbrooke,Estrie,Jacques-Cartier,J1J,109,10388,11,433.7370112265583,0.3913893291072397,0.056760724188549994,0.0004652289023947476,7.0
15,80,66-80,0,30001-50000,Sherbrooke,Estrie,Rock Forest--Saint-Élie--Deauville,J1N,109,10389,6,0.0,0.38716323296355254,0.056760724188549994,0.0004466212562138576,8.0
16,91,18-30,1,10001-20000,Sherbrooke,Estrie,Fleurimont,J1E,109,10377,6,0.0,0.3883518225039646,0.056760724188549994,0.0006997066347350435,8.0
