,id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid,degrees,betweenness,harmonic_centrality,transitivity_undirected,pagerank,eccentricity
0,612,55-65,0,30001-50000,Franklin,Montérégie,,J0S,114,9857,20,0.0,0.26378026070763566,0.11671162856737186,0.007086678556632307,0.0
1,1071,66-80,0,30001-50000,Lac-Drolet,Estrie,,G0Y,112,9402,1,0.0,0.3985102420856616,0.11671162856737186,0.0018818950459119689,7.0
2,1187,66-80,0,0,Val-Racine,Estrie,,G0Y,112,9278,2,0.0,0.3175977653631287,0.11671162856737186,0.0020766450712301904,6.0
3,1399,66-80,0,0,Lac-Mégantic,Estrie,,G6B,112,9073,5,0.0,0.34720670391061503,0.11671162856737186,0.0018818950459119689,6.0
4,1756,31-54,1,0-10000,Lac-Mégantic,Estrie,,G6B,112,8700,1,0.0,0.2986964618249534,0.11671162856737186,0.0025037205688689763,0.0
5,1780,0,1,0,Lac-Mégantic,Estrie,,G6B,112,8685,1,0.0,0.3124767225325886,0.11671162856737186,0.0018818950459119689,7.0
6,1843,31-54,0,0-10000,Lac-Mégantic,Estrie,,G6B,112,8624,5,0.0,0.40316573556797064,0.11671162856737186,0.0021450799703522736,7.0
7,1847,0,0,0,Lambton,Estrie,,G0M,112,8621,6,94.5783103304624,0.43016759776536273,0.11671162856737186,0.003341077272880613,6.0
8,1904,0,0,0,Frontenac,Estrie,,G6B,112,8567,1,0.0,0.3166666666666669,0.11671162856737186,0.0040346362860426465,0.0
9,1944,0,0,30001-50000,Lac-Mégantic,Estrie,,G6B,112,8516,3,0.0,0.3246741154562386,0.11671162856737186,0.004172259271166481,0.0
10,1978,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8483,1,0.0,0.3114525139664806,0.11671162856737186,0.0022687770815933354,0.0
11,2059,31-54,0,10001-20000,Lac-Mégantic,Estrie,,G6B,112,8401,3,0.0,0.00558659217877095,0.11671162856737186,0.0018818950459119689,1.0
12,2061,81-95,0,0,Lac-Mégantic,Estrie,,G6B,112,8403,1,0.0,0.3985102420856616,0.11671162856737186,0.0018818950459119689,7.0
13,2064,66-80,0,10001-20000,Milan,Estrie,,G0Y,112,8406,16,0.0,0.442271880819366,0.11671162856737186,0.0018818950459119689,5.0
14,2112,31-54,1,0-10000,Lac-Mégantic,Estrie,,G6B,112,8350,8,0.0,0.40735567970204867,0.11671162856737186,0.0018818950459119689,6.0
