id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
2926,31-54,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,7531
2927,66-80,0,0-10000,Brossard,Montérégie,,J4W,115,7532
2980,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4N,115,7486
2981,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4G,115,7487
3054,66-80,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,7412
3058,31-54,0,50001-,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,7407
3090,66-80,1,10001-20000,Saint-Jérôme,Laurentides,,J7Y,114,7370
3117,66-80,1,0,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,7349
3132,31-54,1,0-10000,Montréal,Montréal,Rosemont--La Petite-Patrie,H2S,114,7334
3156,31-54,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,7331
