,id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid,degrees,betweenness,harmonic_centrality,transitivity_undirected,pagerank,eccentricity
0,1388,66-80,1,30001-50000,Saint-Justin,Mauricie,,J0V,86,9081,3,0.0,0.4162411347517728,0.043370038689429395,0.0005751674431150709,6.0
1,1403,0,0,20001-30000,Louiseville,Mauricie,,J5V,86,9069,13,0.0,0.42806146572103854,0.043370038689429395,0.0005398683581585503,6.0
2,1612,18-30,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,8853,1,0.0,0.41529550827423156,0.043370038689429395,0.0005398683581585503,6.0
3,1614,0,1,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,8855,2,0.0,0.30905437352245924,0.043370038689429395,0.0005398683581585503,1.0
4,1714,0,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8W,86,8750,6,0.0,0.30914893617021333,0.043370038689429395,0.0005398683581585503,1.0
5,1793,0,1,50001-,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9B,86,8680,1,0.0,0.19927389395474604,0.043370038689429395,0.0005398683581585503,8.0
6,1829,18-30,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,8632,2,0.0,0.41529550827423156,0.043370038689429395,0.0005398683581585503,6.0
7,1864,31-54,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,8602,1,0.0,0.41529550827423156,0.043370038689429395,0.0005398683581585503,6.0
8,1952,55-65,0,0,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Y,92,8511,6,0.0,0.33146572104019106,0.043370038689429395,0.001200174169001552,0.0
9,1954,55-65,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9B,86,8513,4,0.03125,0.3128132387706864,0.043370038689429395,0.0005751674431150709,1.0
10,1963,31-54,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,8504,7,960.0000000000019,0.2523201621073945,0.043370038689429395,0.0010636293263064306,7.0
