,id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid,degrees,betweenness,harmonic_centrality,transitivity_undirected,pagerank,eccentricity
0,17,66-80,0,0,Montréal,Montréal,Rosemont--La Petite-Patrie,H1Y,114,10451,1,0.0,0.001272264631043257,0.0900050142069196,0.0010037271724438416,0.0
1,22,31-54,0,10001-20000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1W,114,10449,1,0.0,0.27437598449048634,0.0900050142069196,0.0005425552283480225,7.0
2,23,66-80,0,30001-50000,Montréal,Montréal,Ahuntsic-Cartierville,H1T,114,10450,1,0.0,0.2357324609232965,0.0900050142069196,0.0005425552283480225,7.0
3,42,0,1,10001-20000,Montréal,Montréal,Rivière-des-Prairies--Pointe-aux-Trembles,H1A,114,10427,2,0.0,0.2729764933963384,0.0900050142069196,0.0005666691568131616,6.0
4,58,31-54,1,20001-30000,Montréal,Montréal,Rosemont--La Petite-Patrie,H2E,114,10410,1,0.0,0.001272264631043257,0.0900050142069196,0.0005425552283480225,1.0
5,81,55-65,0,20001-30000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1X,114,10387,1,0.0,0.3330485883921013,0.0900050142069196,0.0005425552283480225,7.0
6,138,31-54,1,0,Montréal,Montréal,Rosemont--La Petite-Patrie,H1Y,114,10331,2,0.0,0.3337574215436828,0.0900050142069196,0.0005425552283480225,5.0
7,139,31-54,1,50001-,Montréal,Montréal,Rosemont--La Petite-Patrie,H1Y,114,10330,5,0.0,0.3294953350296876,0.0900050142069196,0.0005425552283480225,6.0
8,199,31-54,0,10001-20000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1X,114,10270,8,159.59269485578324,0.3181509754028844,0.0900050142069196,0.0010030473405099989,6.0
9,311,31-54,0,50001-,Montréal,Montréal,Ville-Marie,H2K,114,10158,1,0.0,0.3013055858475701,0.0900050142069196,0.0005787835666974247,0.0
10,316,31-54,0,20001-30000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1T,114,10153,14,657.2799455290133,0.3139312977099242,0.0900050142069196,0.0010204516876196597,6.0
11,317,55-65,0,0-10000,Montréal,Montréal,Villeray--Saint-Michel--Parc-Extension,H3N,114,10154,1,0.0,0.24464740094510712,0.0900050142069196,0.0006542054751946189,0.0
12,393,0,0,20001-30000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1E,114,10074,1,0.0,0.23722585726402096,0.0900050142069196,0.000977270856433931,0.0
13,424,66-80,0,10001-20000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1Y,114,10044,1,0.0,0.3294953350296876,0.0900050142069196,0.0005747263041146128,0.0
14,428,66-80,0,20001-30000,Montréal,Montréal,Ville-Marie,H2K,114,10032,2,0.0,0.3294953350296876,0.0900050142069196,0.0006068973798812031,0.0
15,486,0,1,0,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1J,88,9977,2,0.0,0.29062765055131323,0.0900050142069196,0.0005480782456425831,0.0
16,487,0,0,0,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1N,88,9978,1,0.0,0.29062765055131323,0.0900050142069196,0.0005453167369953028,0.0
17,489,66-80,0,10001-20000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1X,114,9972,2,0.0,0.2809705561613942,0.0900050142069196,0.0006007831171276207,0.0
